razon,id,fecha,primera_vez,primer_id,nombre_proyecto,url
TITULO_CROSS_URL,BOLR-20250425-0,20250425,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250428023,20250428,20250421,BOA20250421033,Infraestructuras de Evacuación Compartidas SET Gorgo,
TITULO_CROSS_URL,BOLR-20250428-0,20250428,-,-,Parque Fotovoltaico Najerilla Solar POT,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250429025,20250429,20250403,BOA20250403039,Hibridación Pe Santa Marta II,
TITULO_CROSS_URL,BOLR-20250429-0,20250429,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250430021,20250430,20250421,BOA20250421034,Parque Eólico Alpeñés,
TITULO_DUPLICADO_SIN_URL,BOA20250430031,20250430,20250414,BOA20250414035,Línea Subterránea Media Tensión Libienergy Peña,
TITULO_DUPLICADO_SIN_URL,BOA20250430032,20250430,20250414,BOA20250414035,LAT 220 kV El Grado-Monzón,
TITULO_CROSS_URL,BOLR-20250430-0,20250430,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_CROSS_URL,BOLR-20250501-0,20250501,-,-,Parque Fotovoltaico Najerilla Solar POT 1 MW,https://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=40473173-1-PDF-577396-X
TITULO_DUPLICADO_SIN_URL,BOA20250502040,20250502,20250414,BOA20250414035,Planta Solar Fotovoltaica Libienergy Ar,
