distribuidora,subestacion,tension_kv,provincia,n_eventos_hist,años_distintos,trimestre_patron,concentracion_pct,avg_delta_mw,max_delta_mw,ultimo_evento,ventana_inicio,ventana_fin,estado_ventana,confianza,fechas_historicas,proyectos_ids,proyectos_estados
iDE,LA PUNTA    132.00,132.0,VALENCIA,6,3,4,50.0,41.7,109.4,2026-05-01,2026-10-01,2026-12-31,en 129d,0.68,2024-06-25|2024-10-29|2024-11-15|2025-01-30|2025-11-01|2026-05-01,,
REE,PUERTO DE LA CRUZ,220.0,,6,3,2,50.0,36.2,74.0,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.68,2024-12-02|2025-04-01|2025-06-02|2025-12-01|2026-03-02|2026-05-01,prj_01047|prj_02237,favorable|favorable
iDE,NOUMOLES    66.000,66.0,VALENCIA,6,3,4,50.0,19.9,27.5,2026-03-01,2026-10-01,2026-12-31,en 129d,0.68,2024-09-26|2024-11-15|2025-02-26|2025-10-01|2025-11-01|2026-03-01,,
Endesa,ONUBA,66.0,Huelva,6,4,1,50.0,17.4,50.0,2026-03-01,2027-01-01,2027-03-31,en 221d,0.68,2021-11-01|2022-01-01|2022-04-01|2025-12-01|2026-01-01|2026-03-01,,
Endesa,VAGUADAS,20.0,Badajoz,6,4,2,50.0,13.4,25.6,2026-05-01,2026-04-01,2026-06-30,EN_CURSO,0.68,2021-09-01|2022-01-01|2022-04-01|2022-05-01|2025-12-01|2026-05-01,,
iDE,HARO        66.000,66.0,LA RIOJA,6,3,4,50.0,12.2,22.7,2026-03-01,2026-10-01,2026-12-31,en 129d,0.68,2024-07-23|2024-10-29|2024-12-02|2025-10-03|2026-01-01|2026-03-01,,
iDE,VALLDIGN T2,20.0,VALENCIA,6,3,4,50.0,9.5,18.2,2025-11-01,2026-10-01,2026-12-31,en 129d,0.68,2023-12-21|2024-06-25|2024-09-26|2025-04-11|2025-10-01|2025-11-01,,
iDE,LEGANES 45.000,45.0,MADRID,5,2,4,80.0,29.0,49.2,2024-01-31,2026-10-01,2026-12-31,en 129d,0.67,2023-11-30|2023-11-30|2023-12-21|2023-12-21|2024-01-31,,
UFD,VALDEMORO 2,45.0,MADRID,5,2,3,80.0,20.0,31.5,2023-08-23,2026-07-01,2026-09-30,en 37d,0.67,2022-02-27|2022-08-28|2022-09-28|2023-07-10|2023-08-23,,
Endesa,S.LLOGAIA,132.0,Girona,2,2,4,100.0,127.7,242.3,2025-10-01,2026-10-01,2026-12-31,en 129d,0.66,2021-10-01|2025-10-01,,
REE,MAGALLON,220.0,,2,2,1,100.0,75.5,144.0,2026-03-02,2027-01-01,2027-03-31,en 221d,0.66,2025-02-03|2026-03-02,,
REE,TORDESILLAS,220.0,,2,2,1,100.0,70.0,96.0,2026-02-20,2027-01-01,2027-03-31,en 221d,0.66,2024-02-01|2026-02-20,,
UFD,EL CASTRO,132.0,PONTEVEDRA,2,2,1,100.0,66.3,100.0,2025-01-27,2027-01-01,2027-03-31,en 221d,0.66,2022-02-27|2025-01-27,,
REE,TORREJON DE VELASCO,400.0,,2,2,2,100.0,64.5,82.0,2025-05-05,2026-04-01,2026-06-30,EN_CURSO,0.66,2024-06-03|2025-05-05,,
UFD,MORAL DE CALATRAVA,132.0,CIUDAD REAL,2,2,1,100.0,60.0,60.0,2026-02-01,2027-01-01,2027-03-31,en 221d,0.66,2025-02-25|2026-02-01,,
