fecha,ccaa,provincia,subestacion,tension_kv,lat,lon,disponible,ocupada_total,admitida_total,disponible_neta
2021-07-01,01 - Andalucía,Córdoba,ESPEJO,132,37.65036571,-4.57791394,0.0,68.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,ESPEJO,66,37.65036571,-4.57791394,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,ESPEJO,25,37.65036571,-4.57791394,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,GENILCAB,132,37.35748361,-4.72419417,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,GRANCAPI,66,37.88599537,-4.79455528,64.8,0.0,0.0,64.8
2021-07-01,01 - Andalucía,Córdoba,GRANCAPI,20,37.88599537,-4.79455528,63.4,0.0,0.0,63.4
2021-07-01,01 - Andalucía,Córdoba,HINOJOSA,66,38.48766897,-5.13320697,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,HINOJOSA,20,38.48766897,-5.13320697,0.0,4.1,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,HUERTFIG,66,37.89757895,-4.81578519,60.9,0.0,0.0,60.9
2021-07-01,01 - Andalucía,Córdoba,HUERTFIG,20,37.89757895,-4.81578519,57.2,0.0,0.0,57.2
2021-07-01,01 - Andalucía,Córdoba,IZNAJAR,132,37.27449565,-4.38709561,0.0,107.8,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,LANCHA,132,37.91677115,-4.70997856,0.0,103.8,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,LANCHA,66,37.91677115,-4.70997856,0.0,55.1,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,LANCHA,20,37.91677115,-4.70997856,0.0,9.3,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,LUCENA,132,37.42576246,-4.47918325,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,LUCENA,66,37.42576246,-4.47918325,0.0,0.0,0.0,0.0
2021-07-01,01 - Andalucía,Córdoba,LUCENA,25,37.42576246,-4.47918325,0.0,9.7,0.0,0.0
