distribuidora,subestacion,tension_kv,provincia,n_eventos,mes_top,mes_top_pct,trimestre_top,tri_top_pct,avg_delta_mw,max_delta_mw,patron_claro,fechas_eventos
UFD,SANXENXO,66.0,PONTEVEDRA,4,2,50.0,1,75.0,25.8,34.0,True,2022-02-27|2022-09-28|2025-01-27|2026-02-01
Endesa,CALDERS,110.0,Barcelona,4,3,50.0,1,50.0,25.6,40.0,True,2022-03-01|2025-12-01|2026-03-01|2026-05-01
UFD,HERENCIA,45.0,CIUDAD REAL,4,2,50.0,1,75.0,24.9,37.0,True,2025-02-25|2026-01-01|2026-02-01|2026-05-01
iDE,OLIVERAL T1,20.0,VALENCIA,4,12,25.0,4,75.0,24.6,26.9,True,2024-12-02|2025-02-26|2025-10-01|2025-11-01
Endesa,ALCORES,132.0,Sevilla,4,8,25.0,4,50.0,23.1,41.7,True,2021-08-01|2021-10-01|2021-12-01|2022-01-01
iDE,CASALARRE T1,66.0,LA RIOJA,4,7,25.0,1,50.0,23.0,42.7,True,2024-07-23|2024-10-29|2025-01-30|2026-03-01
Endesa,AXARQUIA,66.0,Málaga,4,10,25.0,4,50.0,22.8,62.1,True,2021-10-01|2021-11-01|2022-04-01|2026-01-01
Endesa,TAUSTE,66.0,Zaragoza,4,11,25.0,2,50.0,21.7,25.1,True,2021-11-01|2022-04-01|2022-05-01|2026-03-01
Endesa,OSARIO,66.0,Sevilla,4,8,25.0,4,50.0,21.6,36.8,True,2021-08-01|2021-10-01|2021-12-01|2022-03-01
Endesa,BADAJOZ,66.0,Badajoz,4,11,25.0,4,75.0,21.2,44.4,True,2021-11-01|2025-10-01|2025-12-01|2026-05-01
Endesa,VALME,132.0,Sevilla,4,10,25.0,4,50.0,21.1,48.0,True,2021-10-01|2021-11-01|2022-02-01|2022-05-01
Endesa,EMPALME,66.0,Sevilla,4,8,25.0,4,50.0,20.9,33.6,True,2021-08-01|2021-10-01|2021-12-01|2022-03-01
Endesa,MONTES,66.0,Málaga,4,11,25.0,4,50.0,20.2,41.0,True,2021-11-01|2022-04-01|2025-12-01|2026-05-01
Endesa,VEGASBAJ,66.0,Badajoz,4,11,25.0,4,75.0,19.8,31.3,True,2021-11-01|2025-10-01|2025-12-01|2026-05-01
iDE,GALAPAGA T4,20.0,MADRID,4,7,25.0,3,50.0,19.8,26.5,True,2024-07-23|2024-09-26|2025-10-01|2025-11-01
iDE,VMACHATE T4,20.0,VALENCIA,4,12,25.0,4,75.0,18.6,25.4,True,2024-12-02|2025-10-01|2025-11-01|2026-05-01
UFD,HERRERA DE LA MANCHA,45.0,CIUDAD REAL,4,2,50.0,1,75.0,18.5,25.0,True,2025-02-25|2026-01-01|2026-02-01|2026-05-01
Endesa,BADAJOZ,20.0,Badajoz,4,5,50.0,4,50.0,18.2,39.2,True,2021-11-01|2022-05-01|2025-12-01|2026-05-01
iDE,POLIGONC T5,15.0,MADRID,4,10,50.0,4,75.0,18.0,25.9,True,2024-08-27|2024-10-29|2025-10-01|2025-11-01
Endesa,T_MIGUEL,66.0,Badajoz,4,1,25.0,2,50.0,17.8,34.2,True,2022-01-01|2022-04-01|2025-12-01|2026-05-01
iDE,PESTORIL T1,45.0,MADRID,4,2,25.0,4,50.0,17.7,27.1,True,2025-02-26|2025-10-01|2025-11-01|2026-05-01
iDE,S.S.PROVIF,66.0,LA RIOJA,4,10,50.0,4,50.0,17.7,19.3,True,2024-07-23|2024-10-29|2025-10-01|2026-03-01
iDE,CARLET T1,20.0,VALENCIA,4,12,25.0,4,75.0,17.2,24.3,True,2024-12-02|2025-10-01|2025-11-01|2026-03-01
iDE,OLIVERAL T2,20.0,VALENCIA,4,12,25.0,4,75.0,17.2,21.8,True,2024-12-02|2025-02-26|2025-10-01|2025-11-01
REE,GENETO,66.0,,4,1,25.0,1,50.0,17.0,45.0,True,2024-01-02|2024-02-01|2024-06-03|2024-11-04
Endesa,PALOMARE,66.0,Sevilla,4,10,50.0,4,75.0,16.4,25.5,True,2021-10-01|2022-04-01|2025-10-01|2025-12-01
Endesa,RIOCAYA,20.0,Badajoz,4,11,25.0,4,50.0,16.4,26.3,True,2021-11-01|2022-03-01|2025-12-01|2026-05-01
iDE,ARDOZ.N T6,20.0,MADRID,4,12,25.0,4,75.0,16.1,27.1,True,2024-12-02|2025-10-01|2025-11-01|2026-01-01
Endesa,MONTBLANC,25.0,Tarragona,4,1,25.0,2,50.0,16.0,26.8,True,2022-01-01|2022-04-01|2025-10-01|2026-05-01
REE,MATAS BLANCAS,132.0,,4,5,25.0,4,50.0,16.0,26.0,True,2024-05-16|2024-09-02|2024-10-01|2024-12-02
iDE,NOUMOLES T3,20.0,VALENCIA,4,11,50.0,4,75.0,16.0,20.9,True,2024-11-15|2025-02-26|2025-10-01|2025-11-01
iDE,VIVEROS T2,20.0,VALENCIA,4,11,50.0,4,75.0,15.7,20.9,True,2024-11-15|2025-02-26|2025-10-01|2025-11-01
iDE,VIVEROS T3,20.0,VALENCIA,4,11,50.0,4,75.0,15.7,21.0,True,2024-11-15|2025-02-26|2025-10-01|2025-11-01
Endesa,ALDEA_BLAN,20.0,Las Palmas,4,11,25.0,1,50.0,15.3,20.4,True,2021-11-01|2022-01-01|2022-02-01|2022-04-01
